2024-10-01 *** 12:42:17 LogWrapper init() ./logs/AUDUSD.log
2024-10-01 *** 12:42:17 AUDUSD
2024-10-01 *** 12:42:43 ScalperWorker : 
2024-10-01 *** 12:42:48 ScalperWorker : 
2024-10-01 *** 12:42:49 ScalperWorker : 
2024-10-01 *** 12:42:53 ScalperWorker : 
2024-10-01 *** 12:43:01 ScalperWorker : 
2024-10-01 *** 12:43:02 ScalperWorker : 
2024-10-01 *** 12:43:05 ScalperWorker : 
2024-10-01 *** 12:43:11 ScalperWorker : 
2024-10-01 *** 12:43:14 ScalperWorker : 
2024-10-01 *** 12:43:20 ScalperWorker : 
2024-10-01 *** 12:43:24 ScalperWorker : 
2024-10-01 *** 12:43:26 ScalperWorker : 
2024-10-01 *** 12:43:30 ScalperWorker : 
2024-10-01 *** 12:43:34 ScalperWorker : 
2024-10-01 *** 12:43:37 ScalperWorker : 
2024-10-01 *** 12:43:41 ScalperWorker : 
2024-10-01 *** 12:43:46 ScalperWorker : 
2024-10-01 *** 12:43:47 ScalperWorker : 
2024-10-01 *** 12:43:52 ScalperWorker : 
2024-10-01 *** 12:43:54 ScalperWorker : 
2024-10-01 *** 12:43:56 ScalperWorker : 
2024-10-01 *** 12:44:01 ScalperWorker : 
2024-10-01 *** 12:44:09 ScalperWorker : 
2024-10-01 *** 12:44:22 ScalperWorker : 
2024-10-01 *** 12:44:47 ScalperWorker : 
2024-10-01 *** 12:44:47 ScalperWorker : 
2024-10-01 *** 12:44:50 ScalperWorker : 
2024-10-01 *** 12:44:54 ScalperWorker : 
2024-10-01 *** 12:44:57 ScalperWorker : 
2024-10-01 *** 12:45:00 ScalperWorker : 
2024-10-01 *** 12:45:12 ScalperWorker : 
2024-10-01 *** 12:45:15 ScalperWorker : 
2024-10-01 *** 12:45:25 ScalperWorker : 
2024-10-01 *** 12:45:27 ScalperWorker : 
2024-10-01 *** 12:45:33 ScalperWorker : 
2024-10-01 *** 12:45:39 ScalperWorker : 
2024-10-01 *** 12:45:43 ScalperWorker : 
2024-10-01 *** 12:45:47 ScalperWorker : 
2024-10-01 *** 12:45:51 ScalperWorker : 
2024-10-01 *** 12:46:00 ScalperWorker : 
2024-10-01 *** 12:46:03 ScalperWorker : 
2024-10-01 *** 12:46:10 ScalperWorker : 
2024-10-01 *** 12:46:14 ScalperWorker : 
2024-10-01 *** 12:46:15 ScalperWorker : 
2024-10-01 *** 12:46:19 ScalperWorker : 
2024-10-01 *** 12:46:21 ScalperWorker : 
2024-10-01 *** 12:46:22 ScalperWorker : 
2024-10-01 *** 12:46:24 ScalperWorker : 
2024-10-01 *** 12:46:26 ScalperWorker : 
2024-10-01 *** 12:46:27 ScalperWorker : 
2024-10-01 *** 12:46:29 ScalperWorker : 
2024-10-01 *** 12:46:33 ScalperWorker : 
2024-10-01 *** 12:46:36 ScalperWorker : 
2024-10-01 *** 12:46:40 ScalperWorker : 
2024-10-01 *** 12:46:41 ScalperWorker : 
2024-10-01 *** 12:46:42 ScalperWorker : 
2024-10-01 *** 12:46:42 ScalperWorker : 
2024-10-01 *** 12:46:43 ScalperWorker : 
2024-10-01 *** 12:46:43 ScalperWorker : 
2024-10-01 *** 12:46:44 ScalperWorker : 
2024-10-01 *** 12:46:45 ScalperWorker : 
2024-10-01 *** 12:46:46 ScalperWorker : 
2024-10-01 *** 12:46:56 ScalperWorker : 
2024-10-01 *** 12:46:59 ScalperWorker : 
2024-10-01 *** 12:47:02 ScalperWorker : 
2024-10-01 *** 12:47:09 ScalperWorker : 
2024-10-01 *** 12:47:16 ScalperWorker : 
2024-10-01 *** 12:47:32 ScalperWorker : 
2024-10-01 *** 12:47:35 ScalperWorker : 
2024-10-01 *** 12:47:42 ScalperWorker : 
2024-10-01 *** 12:47:47 ScalperWorker : 
2024-10-01 *** 12:47:51 ScalperWorker : 
2024-10-01 *** 12:47:56 ScalperWorker : 
2024-10-01 *** 12:47:57 ScalperWorker : 
2024-10-01 *** 12:47:58 ScalperWorker : 
2024-10-01 *** 12:48:17 ScalperWorker : 
2024-10-01 *** 12:48:27 ScalperWorker : 
2024-10-01 *** 12:48:46 ScalperWorker : 
2024-10-01 *** 12:48:52 ScalperWorker : 
2024-10-01 *** 12:48:55 ScalperWorker : 
2024-10-01 *** 12:49:25 ScalperWorker : 
2024-10-01 *** 12:49:28 ScalperWorker : 
2024-10-01 *** 12:49:32 ScalperWorker : 
2024-10-01 *** 12:49:33 ScalperWorker : 
2024-10-01 *** 12:49:34 ScalperWorker : 
2024-10-01 *** 12:49:37 ScalperWorker : 
2024-10-01 *** 12:49:45 ScalperWorker : 
2024-10-01 *** 12:49:46 ScalperWorker : 
2024-10-01 *** 12:49:53 ScalperWorker : 
2024-10-01 *** 12:49:57 ScalperWorker : 
2024-10-01 *** 12:50:11 ScalperWorker : 
2024-10-01 *** 12:50:12 ScalperWorker : 
2024-10-01 *** 12:50:13 ScalperWorker : 
2024-10-01 *** 12:50:15 ScalperWorker : 
2024-10-01 *** 12:50:18 ScalperWorker : 
2024-10-01 *** 12:50:19 ScalperWorker : 
