2024-10-01 *** 14:49:51 LogWrapper init() ./logs/USDJY.log
2024-10-01 *** 14:49:51 USDJY
2024-10-01 *** 14:50:12 ScalperWorker : 
2024-10-01 *** 14:50:14 ScalperWorker : 
2024-10-01 *** 14:50:17 ScalperWorker : 
2024-10-01 *** 14:50:21 ScalperWorker : 
2024-10-01 *** 14:50:28 ScalperWorker : 
2024-10-01 *** 14:50:31 ScalperWorker : 
2024-10-01 *** 14:50:35 ScalperWorker : 
2024-10-01 *** 14:50:38 ScalperWorker : 
2024-10-01 *** 14:50:42 ScalperWorker : 
2024-10-01 *** 14:50:48 ScalperWorker : 
2024-10-01 *** 14:50:53 ScalperWorker : 
2024-10-01 *** 14:50:57 ScalperWorker : 
2024-10-01 *** 14:51:01 ScalperWorker : 
2024-10-01 *** 14:51:05 ScalperWorker : 
2024-10-01 *** 14:51:12 ScalperWorker : 
2024-10-01 *** 14:51:18 ScalperWorker : 
2024-10-01 *** 14:51:27 ScalperWorker : 
2024-10-01 *** 14:51:33 ScalperWorker : 
2024-10-01 *** 14:51:36 ScalperWorker : 
2024-10-01 *** 14:51:43 ScalperWorker : 
2024-10-01 *** 14:51:50 ScalperWorker : 
2024-10-01 *** 14:51:58 ScalperWorker : 
2024-10-01 *** 14:52:09 ScalperWorker : 
2024-10-01 *** 14:52:13 ScalperWorker : 
2024-10-01 *** 14:52:16 ScalperWorker : 
2024-10-01 *** 14:52:19 ScalperWorker : 
2024-10-01 *** 14:52:23 ScalperWorker : 
2024-10-01 *** 14:52:27 ScalperWorker : 
2024-10-01 *** 14:52:31 ScalperWorker : 
2024-10-01 *** 14:52:35 ScalperWorker : 
2024-10-01 *** 14:52:42 ScalperWorker : 
2024-10-01 *** 14:52:47 ScalperWorker : 
2024-10-01 *** 14:53:11 ScalperWorker : 
2024-10-01 *** 14:53:14 ScalperWorker : 
2024-10-01 *** 14:53:19 ScalperWorker : 
2024-10-01 *** 14:53:23 ScalperWorker : 
2024-10-01 *** 14:53:33 ScalperWorker : 
2024-10-01 *** 14:53:39 ScalperWorker : 
2024-10-01 *** 14:53:47 ScalperWorker : 
2024-10-01 *** 14:53:54 ScalperWorker : 
2024-10-01 *** 14:54:01 ScalperWorker : 
