2024-10-04 *** 16:00:06 LogWrapper init() ./logs/main.log
2024-10-04 *** 16:00:06 Done setting up logs
2024-10-04 *** 16:01:35 
  instrument                    time        ask        bid
0     EURUSD 2024-10-04 18:00:11.724    1.09700    1.09688
1     GBPJPY 2024-10-04 18:00:22.411  194.72900  194.70600
2     EURJPY 2024-10-04 18:00:29.675  162.88500  162.86300
3     USDJPY 2024-10-04 18:00:36.876  148.49000  148.46800
4     GBPUSD 2024-10-04 18:00:45.291    1.31139    1.31125
5     EURGBP 2024-10-04 18:00:53.612    0.83661    0.83650
6     EURCHF 2024-10-04 18:01:01.163    0.94195    0.94181
7     GBPCHF 2024-10-04 18:01:10.988    1.12593    1.12575
8     USDCAD 2024-10-04 18:01:19.691    1.35763    1.35749
9     AUDUSD 2024-10-04 18:01:28.523    0.68027    0.68011
2024-10-04 *** 16:03:10 
  instrument                    time        ask        bid
0     EURUSD 2024-10-04 18:01:51.628    1.09723    1.09712
1     GBPJPY 2024-10-04 18:02:00.779  194.74100  194.71700
2     EURJPY 2024-10-04 18:02:09.226  162.91900  162.90200
3     USDJPY 2024-10-04 18:02:16.504  148.48600  148.46400
4     GBPUSD 2024-10-04 18:02:23.723    1.31135    1.31121
5     EURGBP 2024-10-04 18:02:31.371    0.83674    0.83662
6     EURCHF 2024-10-04 18:02:39.792    0.94217    0.94200
7     GBPCHF 2024-10-04 18:02:47.247    1.12610    1.12589
8     USDCAD 2024-10-04 18:02:57.006    1.35743    1.35727
9     AUDUSD 2024-10-04 18:03:05.839    0.68027    0.68009
2024-10-04 *** 16:04:42 
  instrument                    time        ask        bid
0     EURUSD 2024-10-04 18:03:25.007    1.09718    1.09707
1     GBPJPY 2024-10-04 18:03:37.103  194.69400  194.66600
2     EURJPY 2024-10-04 18:03:44.687  162.91400  162.89400
3     USDJPY 2024-10-04 18:03:51.665  148.48200  148.46100
4     GBPUSD 2024-10-04 18:03:57.691    1.31134    1.31119
5     EURGBP 2024-10-04 18:04:05.531    0.83685    0.83673
6     EURCHF 2024-10-04 18:04:12.411    0.94209    0.94195
7     GBPCHF 2024-10-04 18:04:19.835    1.12584    1.12566
8     USDCAD 2024-10-04 18:04:27.067    1.35766    1.35752
9     AUDUSD 2024-10-04 18:04:35.003    0.68011    0.67995
2024-10-04 *** 16:06:14 
  instrument                    time        ask        bid
0     EURUSD 2024-10-04 18:05:00.443    1.09728    1.09716
1     GBPJPY 2024-10-04 18:05:07.260  194.72900  194.70300
2     EURJPY 2024-10-04 18:05:17.307  162.93700  162.91800
3     USDJPY 2024-10-04 18:05:23.675  148.52000  148.49800
4     GBPUSD 2024-10-04 18:05:31.515    1.31137    1.31124
5     EURGBP 2024-10-04 18:05:39.131    0.83677    0.83664
6     EURCHF 2024-10-04 18:05:45.371    0.94253    0.94237
7     GBPCHF 2024-10-04 18:05:53.946    1.12646    1.12630
8     USDCAD 2024-10-04 18:06:01.115    1.35750    1.35735
9     AUDUSD 2024-10-04 18:06:07.354    0.68041    0.68024
2024-10-04 *** 16:07:57 
  instrument                    time        ask        bid
0     EURUSD 2024-10-04 18:06:31.546    1.09722    1.09709
1     GBPJPY 2024-10-04 18:06:39.003  194.74100  194.71900
2     EURJPY 2024-10-04 18:06:47.515  162.94000  162.92100
3     USDJPY 2024-10-04 18:06:53.851  148.50800  148.48900
4     GBPUSD 2024-10-04 18:07:01.564    1.31142    1.31128
5     EURGBP 2024-10-04 18:07:10.043    0.83668    0.83658
6     EURCHF 2024-10-04 18:07:21.883    0.94242    0.94227
7     GBPCHF 2024-10-04 18:07:31.002    1.12641    1.12625
8     USDCAD 2024-10-04 18:07:42.235    1.35770    1.35753
9     AUDUSD 2024-10-04 18:07:47.897    0.68032    0.68015
2024-10-04 *** 16:09:39 
  instrument                    time        ask        bid
0     EURUSD 2024-10-04 18:08:15.002    1.09713    1.09700
1     GBPJPY 2024-10-04 18:08:25.370  194.63200  194.60700
2     EURJPY 2024-10-04 18:08:34.010  162.87000  162.84900
3     USDJPY 2024-10-04 18:08:41.146  148.49600  148.47400
4     GBPUSD 2024-10-04 18:08:53.852    1.31091    1.31080
5     EURGBP 2024-10-04 18:08:59.162    0.83684    0.83672
6     EURCHF 2024-10-04 18:09:07.098    0.94241    0.94226
7     GBPCHF 2024-10-04 18:09:13.051    1.12624    1.12605
8     USDCAD 2024-10-04 18:09:20.858    1.35796    1.35779
9     AUDUSD 2024-10-04 18:09:33.178    0.67997    0.67979
